0Humidity,Temp,Voltage,Power,Energy,Frequency,PF
0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,Error reading voltage

0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.10,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.40,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.8,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.30,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.20,0.00,0.00,0.00,59.9,0.00
0.00%,0.00,112.40,0.00,0.00,0.00,59.8,0.00
